TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,5,12,5,12,12XX NICOLA ST,West End,489939.8289,5459018.493
Break and Enter Commercial,2020,4,28,11,0,12XX PACIFIC BLVD,Central Business District,491107.9405,5457915.381
Break and Enter Commercial,2020,10,4,1,48,12XX PACIFIC ST,West End,490058.0805,5458556.418
Break and Enter Commercial,2020,3,11,7,35,12XX RAYMUR AVE,Strathcona,493985.5078,5457850.907
Break and Enter Commercial,2020,7,1,17,0,12XX RAYMUR AVE,Strathcona,493985.5078,5457850.907
Break and Enter Commercial,2020,9,23,20,0,12XX RAYMUR AVE,Strathcona,493985.5078,5457850.907
Break and Enter Commercial,2020,3,25,2,40,12XX RICHARDS ST,Central Business District,490927.5588,5458104.676
Break and Enter Commercial,2020,7,13,0,45,12XX RICHARDS ST,Central Business District,490927.5588,5458104.676
Break and Enter Commercial,2020,10,26,21,22,12XX SEYMOUR ST,Central Business District,490806.8322,5458106.845
Break and Enter Commercial,2020,4,7,22,0,12XX W 14TH AVE,Fairview,490413.0799,5456238.877
Break and Enter Commercial,2020,5,29,4,30,12XX W 15TH AVE,Fairview,490370.5515,5456138.268
